bench,invocation,cold_mean_us,warm_mean_us
word-count,439,925.0,915.6
word-count,440,875.4,893.6
word-count,441,900.4,921.2
word-count,442,855.2,884.0
word-count,443,859.2,906.2
word-count,444,863.4,928.8
word-count,445,901.6,902.2
word-count,446,899.4,879.4
word-count,447,890.4,879.2
word-count,448,1101.4,2101.2
word-count,449,1899.6,846.2
word-count,450,846.8,854.2
word-count,451,835.4,870.0
word-count,452,848.0,852.4
word-count,453,841.6,829.6
word-count,454,854.0,835.0
word-count,455,843.2,830.0
word-count,456,824.8,836.0
word-count,457,829.8,835.0
word-count,458,816.8,828.6
word-count,459,842.8,854.2
word-count,460,855.8,860.2
word-count,461,841.4,826.2
word-count,462,851.6,859.4
word-count,463,841.2,824.6
word-count,464,835.2,833.8
word-count,465,838.6,837.6
word-count,466,809.2,830.2
word-count,467,818.8,832.6
word-count,468,847.4,825.6
word-count,469,837.0,834.0
word-count,470,829.8,821.6
word-count,471,841.2,847.0
word-count,472,858.8,846.8
word-count,473,853.4,843.2
word-count,474,826.4,812.6
word-count,475,823.8,851.4
word-count,476,835.2,841.2
word-count,477,821.6,844.2
word-count,478,835.8,843.6
word-count,479,851.0,824.4
word-count,480,823.6,821.4
word-count,481,819.0,839.6
word-count,482,820.2,826.4
word-count,483,819.4,843.6
word-count,484,831.8,843.6
word-count,485,838.2,828.8
word-count,486,827.6,863.4
word-count,487,850.2,832.8
word-count,488,825.2,832.2
word-count,489,806.2,830.2
word-count,490,851.4,831.2
word-count,491,827.2,845.0
word-count,492,835.2,821.4
word-count,493,834.8,829.0
word-count,494,840.4,843.8
word-count,495,869.4,824.6
word-count,496,860.8,822.2
word-count,497,847.8,829.0
word-count,498,864.8,854.6
word-count,499,831.8,838.8
word-count,500,811.0,824.8
