bench,invocation,cold_mean_us,warm_mean_us
matrix-multiplication,471,24957.6,24836.0
matrix-multiplication,472,17908.4,15627.0
matrix-multiplication,473,21572.4,24974.6
matrix-multiplication,474,14839.8,15839.6
matrix-multiplication,475,26261.0,27345.0
matrix-multiplication,476,24164.6,25654.4
matrix-multiplication,477,15474.4,15653.2
matrix-multiplication,478,15554.2,14872.8
matrix-multiplication,479,15700.6,15588.8
matrix-multiplication,480,15795.8,15188.4
matrix-multiplication,481,15728.8,15576.4
matrix-multiplication,482,27100.0,23158.2
matrix-multiplication,483,22600.2,26442.8
matrix-multiplication,484,15460.0,15592.6
matrix-multiplication,485,15786.4,15633.8
matrix-multiplication,486,27590.0,27143.6
matrix-multiplication,487,16036.4,16571.0
matrix-multiplication,488,16134.8,15729.4
matrix-multiplication,489,16112.8,15852.2
matrix-multiplication,490,15775.8,15408.8
matrix-multiplication,491,15768.4,15705.2
matrix-multiplication,492,25967.4,24485.4
matrix-multiplication,493,15965.8,15423.6
matrix-multiplication,494,15651.2,15761.6
matrix-multiplication,495,21554.2,21874.0
matrix-multiplication,496,24523.8,23797.2
matrix-multiplication,497,15380.2,15871.6
matrix-multiplication,498,16238.6,15061.8
matrix-multiplication,499,24838.4,25187.8
matrix-multiplication,500,15272.8,14858.8
